Step,Learning Rate,Train Loss,Validation Loss,Perplexity,Time Elapsed
0,1e-07,191.01104736328125,191.63755798339844,inf,3.0921630859375
60,tensor(0.0100),4.710728168487549,4.731169700622559,113.42816162109375,337.05064582824707
120,tensor(0.0093),3.205422878265381,3.2103617191314697,24.78805160522461,675.8524806499481
180,tensor(0.0075),2.9937732219696045,2.82576584815979,16.873863220214844,987.2514815330505
240,tensor(0.0050),2.71449875831604,2.7247514724731445,15.252622604370117,1252.5906219482422
300,tensor(0.0025),2.6858530044555664,2.595309257507324,13.400731086730957,1485.7819650173187
360,tensor(0.0007),2.496551275253296,2.584296226501465,13.253957748413086,1707.29572057724
420,tensor(0.0100),3.119868755340576,3.1278698444366455,22.825305938720703,1927.1901788711548
480,tensor(0.0098),2.6335668563842773,2.6219682693481445,13.762785911560059,2205.2985882759094
540,tensor(0.0093),2.65251088142395,2.4742751121520996,11.87309741973877,2444.131771326065
600,tensor(0.0085),2.5677661895751953,2.3835501670837402,10.843330383300781,2663.482171058655
660,tensor(0.0074),2.2775959968566895,2.2883269786834717,9.858430862426758,2849.3996698856354
720,tensor(0.0062),2.382753372192383,2.200350284576416,9.028175354003906,3027.18700838089
780,tensor(0.0049),2.215153455734253,2.2029407024383545,9.051592826843262,3199.042581319809
840,tensor(0.0036),2.1850459575653076,2.1624555587768555,8.692456245422363,3370.867720603943
900,tensor(0.0024),2.169715404510498,2.1659207344055176,8.72262954711914,3542.056937456131
960,tensor(0.0014),2.1594369411468506,2.0557363033294678,7.812588214874268,3713.135840177536
1020,tensor(0.0007),2.1959140300750732,2.1634981632232666,8.701523780822754,3884.0099658966064
1080,tensor(0.0002),2.0802693367004395,2.073871374130249,7.955562591552734,4053.4655690193176
1140,tensor(0.0100),2.3554458618164062,2.251411199569702,9.501133918762207,4224.046094417572
1200,tensor(0.0099),2.094778299331665,2.1317169666290283,8.429327011108398,4424.5429446697235
1260,tensor(0.0098),2.2251131534576416,2.0230565071105957,7.561400890350342,4628.792951822281
1320,tensor(0.0096),2.0996246337890625,1.9850631952285767,7.279507637023926,4833.4687712192535
1380,tensor(0.0093),1.9050523042678833,1.9734413623809814,7.1953959465026855,5037.799452543259
1440,tensor(0.0089),1.8779412508010864,1.9124513864517212,6.769663333892822,5242.984163761139
1500,tensor(0.0084),1.84763503074646,1.8524678945541382,6.3755340576171875,5446.082241296768
1560,tensor(0.0079),1.8099477291107178,1.7491549253463745,5.749741554260254,5641.88179564476
1620,tensor(0.0074),1.7555224895477295,1.761137843132019,5.81905460357666,5835.275995731354
1680,tensor(0.0068),1.7352291345596313,1.5774174928665161,4.842433929443359,6027.224658966064
1740,tensor(0.0061),1.6612703800201416,1.6614900827407837,5.267153263092041,6214.751458644867
1800,tensor(0.0055),1.650221586227417,1.7258578538894653,5.617337703704834,6399.941145658493
1860,tensor(0.0048),1.5928857326507568,1.666906714439392,5.2957611083984375,6581.660714864731
1920,tensor(0.0042),1.47861909866333,1.6100653409957886,5.003138065338135,6760.411006450653
1980,tensor(0.0035),1.5798624753952026,1.491999626159668,4.445976734161377,6936.121771812439
2040,tensor(0.0029),1.572343349456787,1.4298603534698486,4.1781158447265625,7127.267577648163
2100,tensor(0.0024),1.5780566930770874,1.6030365228652954,4.968095302581787,7317.532706022263
2160,tensor(0.0018),1.526242971420288,1.4772297143936157,4.380792617797852,7502.26761674881
2220,tensor(0.0014),1.3910574913024902,1.539621114730835,4.66282320022583,7685.643136262894
2280,tensor(0.0010),1.4796335697174072,1.4421157836914062,4.229635238647461,7859.223093032837
2340,tensor(0.0006),1.5847026109695435,1.4934775829315186,4.452552795410156,8030.675002336502
2400,tensor(0.0004),1.450786828994751,1.4693713188171387,4.34650182723999,8202.380417108536
2460,tensor(0.0002),1.4872585535049438,1.4972590208053589,4.469421863555908,8372.212396621704
2520,tensor(0.0001),1.4920361042022705,1.4952367544174194,4.460392475128174,8542.627655506134
2580,tensor(0.0100),1.6969887018203735,1.6382864713668823,5.14634370803833,8712.079728364944
2640,tensor(0.0100),1.5970230102539062,1.5983067750930786,4.944653034210205,8883.655321359634
2700,tensor(0.0099),1.5618540048599243,1.6655783653259277,5.288731098175049,9057.328233242035
2760,tensor(0.0099),1.4893296957015991,1.5330100059509277,4.63209867477417,9225.600270271301
2820,tensor(0.0098),1.3708271980285645,1.4963147640228271,4.465203285217285,9393.54480266571
2880,tensor(0.0097),1.4771113395690918,1.5068968534469604,4.512705326080322,9561.041143894196
2940,tensor(0.0096),1.426759958267212,1.3874022960662842,4.004434108734131,9750.816732406616
3000,tensor(0.0094),1.4240400791168213,1.4202191829681396,4.138027191162109,9922.102152109146
3060,tensor(0.0092),1.4082289934158325,1.37209951877594,3.9436216354370117,10092.800853967667
3120,tensor(0.0091),1.4313278198242188,1.3418376445770264,3.8260679244995117,10265.614021778107
3180,tensor(0.0089),1.3357210159301758,1.3200300931930542,3.7435340881347656,10435.85284614563
3240,tensor(0.0086),1.3730535507202148,1.3199635744094849,3.7432849407196045,10605.266821622849
3300,tensor(0.0084),1.3482650518417358,1.3072773218154907,3.696096658706665,10774.024017095566
3360,tensor(0.0082),1.2770912647247314,1.2322251796722412,3.4288508892059326,10941.815513372421
3420,tensor(0.0079),1.2219048738479614,1.2944780588150024,3.6490907669067383,11108.568571329117
3480,tensor(0.0076),1.3734252452850342,1.1975616216659546,3.3120310306549072,11276.00379896164
3540,tensor(0.0073),1.2893102169036865,1.2081482410430908,3.347280502319336,11444.526923179626
3600,tensor(0.0070),1.217098593711853,1.2335777282714844,3.4334917068481445,11611.645520448685
3660,tensor(0.0067),1.2274467945098877,1.1845126152038574,3.2690930366516113,11780.857730865479
3720,tensor(0.0064),1.2396584749221802,1.1781820058822632,3.2484631538391113,11948.642718791962
3780,tensor(0.0061),1.2847820520401,1.1106512546539307,3.0363352298736572,12117.099388837814
3840,tensor(0.0058),1.2097278833389282,1.2795796394348145,3.595128059387207,12284.562171697617
3900,tensor(0.0055),1.1653989553451538,1.1459758281707764,3.1455092430114746,12453.220970153809
3960,tensor(0.0051),1.235181212425232,1.091590404510498,2.979008197784424,12622.31647014618
4020,tensor(0.0048),1.1501665115356445,1.1137354373931885,3.0457141399383545,12790.536052703857
4080,tensor(0.0045),1.1128075122833252,1.1177585124969482,3.0579919815063477,12958.749840259552
4140,tensor(0.0042),1.07634699344635,1.230933666229248,3.4244253635406494,13124.327426671982
4200,tensor(0.0038),1.0751333236694336,1.2245532274246216,3.4026455879211426,13290.667019844055
4260,tensor(0.0035),1.1495537757873535,1.1599416732788086,3.1897470951080322,13457.286692857742
4320,tensor(0.0032),1.1721185445785522,1.0643430948257446,2.8989341259002686,13624.895272016525
4380,tensor(0.0029),1.051790475845337,1.0537701845169067,2.86844539642334,13792.792046070099
4440,tensor(0.0026),1.0886787176132202,1.1521532535552979,3.1650006771087646,13959.949704885483
4500,tensor(0.0023),1.0478943586349487,1.086841344833374,2.9648942947387695,14126.658549547195
4560,tensor(0.0021),1.04952871799469,1.1189919710159302,3.0617663860321045,14293.121748685837
4620,tensor(0.0018),1.0711883306503296,0.991696834564209,2.6958048343658447,14460.266658067703
4680,tensor(0.0016),1.0230828523635864,0.9836428761482239,2.674180269241333,14627.887168884277
4740,tensor(0.0014),1.1002007722854614,1.0936094522476196,2.9850289821624756,14794.053574085236
4800,tensor(0.0011),1.022754192352295,1.089235782623291,2.9720020294189453,14960.342407464981
4860,tensor(0.0010),1.043463110923767,1.1065540313720703,3.0239200592041016,15126.796516656876
4920,tensor(0.0008),1.0974738597869873,1.1109795570373535,3.03733229637146,15292.214470624924
4980,tensor(0.0006),1.0371768474578857,1.0321717262268066,2.8071556091308594,15458.208115577698
5040,tensor(0.0005),1.0452263355255127,1.0028102397918701,2.7259316444396973,15623.869264364243
5100,tensor(0.0004),0.899532675743103,1.1545002460479736,3.1724376678466797,15790.56282544136
5160,tensor(0.0003),0.901153564453125,0.998348593711853,2.713796615600586,15956.512951612473
5220,tensor(0.0002),1.0720168352127075,1.0046844482421875,2.7310452461242676,16122.590248823166
5280,tensor(0.0001),0.9572159647941589,0.9737849831581116,2.6479480266571045,16289.595334291458
5340,tensor(0.0001),0.9372058510780334,1.0201799869537354,2.7736940383911133,16456.064769744873
5400,0.0001,1.0409057140350342,1.0009853839874268,2.720961809158325,16621.262476682663
5460,0.0001,1.018877625465393,0.9445661902427673,2.571697473526001,16787.26220846176
5520,0.0001,1.0512875318527222,1.0293056964874268,2.799121618270874,16977.535937786102
5580,0.0001,1.0025339126586914,1.065250039100647,2.901564359664917,17149.2666451931
5640,0.0001,1.005690336227417,0.9834917187690735,2.6737759113311768,17320.719941854477
5700,0.0001,1.0725511312484741,1.0060738325119019,2.734842538833618,17490.94589161873
5760,0.0001,1.0212620496749878,0.9738318920135498,2.6480722427368164,17659.957825660706
5820,0.0001,1.0061097145080566,1.0703920125961304,2.91652250289917,17828.042570352554
5880,0.0001,1.0396732091903687,0.9786911010742188,2.66097092628479,17995.590980291367
5940,0.0001,0.9637881517410278,1.0141570568084717,2.7570383548736572,18162.842928647995
5999,0.0001,1.0127509832382202,0.9485232830047607,2.5818941593170166,18328.263587474823
