Step,Learning Rate,Train Loss,Validation Loss,Perplexity,Time Elapsed
0,1e-07,11.37131404876709,11.358771324157715,85713.984375,3.423327684402466
40,tensor(0.0100),4.676778316497803,4.673737049102783,107.09722137451172,132.12441539764404
80,tensor(0.0093),4.13588285446167,4.149242877960205,63.385990142822266,260.1066327095032
120,tensor(0.0075),3.6627838611602783,3.5829293727874756,35.978782653808594,391.94064831733704
160,tensor(0.0050),3.071016788482666,2.989443778991699,19.874624252319336,518.791907787323
200,tensor(0.0025),2.9757821559906006,2.9745218753814697,19.580259323120117,645.6597175598145
240,tensor(0.0007),2.8459787368774414,2.8166964054107666,16.72151756286621,764.834112405777
280,tensor(0.0100),2.892651319503784,2.852540969848633,17.33176612854004,880.6909227371216
320,tensor(0.0098),2.7792720794677734,2.7027781009674072,14.921126365661621,997.1448006629944
360,tensor(0.0093),2.6590161323547363,2.616602897644043,13.689141273498535,1127.5318930149078
400,tensor(0.0085),2.527984857559204,2.4515633583068848,11.606477737426758,1245.5819404125214
440,tensor(0.0074),2.5354156494140625,2.579016923904419,13.184170722961426,1362.8984394073486
480,tensor(0.0062),2.4313676357269287,2.41209077835083,11.15726375579834,1479.1754190921783
520,tensor(0.0049),2.440730094909668,2.410413980484009,11.138571739196777,1595.008449792862
560,tensor(0.0036),2.301722526550293,2.3875467777252197,10.88675308227539,1709.6978788375854
600,tensor(0.0024),2.255741596221924,2.3032655715942383,10.006807327270508,1825.270973443985
640,tensor(0.0014),2.193230628967285,2.2169203758239746,9.1790189743042,1941.4472219944
680,tensor(0.0007),2.213930606842041,2.207639217376709,9.094221115112305,2057.0080630779266
720,tensor(0.0002),2.225799798965454,2.239166736602783,9.385507583618164,2172.527237892151
760,tensor(0.0100),2.742349624633789,2.7466659545898438,15.59056568145752,2287.7531926631927
800,tensor(0.0099),2.404249429702759,2.363368511199951,10.626687049865723,2431.2298262119293
840,tensor(0.0098),2.2187108993530273,2.2525413036346436,9.51187801361084,2575.275723218918
880,tensor(0.0096),2.158507823944092,2.160569190979004,8.676074981689453,2716.6803612709045
920,tensor(0.0093),2.0770862102508545,2.0692176818847656,7.918625831604004,2854.725424051285
960,tensor(0.0089),2.009066104888916,2.034613609313965,7.649295806884766,2988.450740337372
1000,tensor(0.0084),2.0106654167175293,1.9602183103561401,7.100877285003662,3115.1024775505066
1040,tensor(0.0079),1.9684687852859497,1.9090735912322998,6.746835708618164,3238.514078140259
1080,tensor(0.0074),1.9330796003341675,1.8392090797424316,6.291560173034668,3358.3208742141724
1120,tensor(0.0068),1.9859029054641724,1.7893766164779663,5.985720157623291,3474.730275630951
1160,tensor(0.0061),1.7531996965408325,1.7814345359802246,5.938369274139404,3590.1990780830383
1200,tensor(0.0055),1.7844940423965454,1.7049275636672974,5.5009870529174805,3704.623537302017
1240,tensor(0.0048),1.6754989624023438,1.718276023864746,5.574909210205078,3843.7142758369446
1280,tensor(0.0042),1.7362480163574219,1.7344226837158203,5.665656089782715,3964.630004644394
1320,tensor(0.0035),1.6497756242752075,1.672667384147644,5.326356410980225,4084.1909005641937
1360,tensor(0.0029),1.6462807655334473,1.7560125589370728,5.789306640625,4203.62336230278
1400,tensor(0.0024),1.7369968891143799,1.7054213285446167,5.503704071044922,4323.238320589066
1440,tensor(0.0018),1.6206496953964233,1.6775175333023071,5.35225248336792,4441.6873824596405
1480,tensor(0.0014),1.655419945716858,1.5430208444595337,4.678702354431152,4560.2096655368805
1520,tensor(0.0010),1.6404000520706177,1.6658799648284912,5.2903265953063965,4677.497814416885
1560,tensor(0.0006),1.583479642868042,1.6397463083267212,5.153861999511719,4794.476629018784
1600,tensor(0.0004),1.739010214805603,1.588402271270752,4.895920276641846,4913.645782232285
1640,tensor(0.0002),1.6442081928253174,1.6095982789993286,5.000802040100098,5031.796262264252
